#: table_doi: 10.17182/hepdata.94264.v1/t24
#: name: Figure 14 (bottom, left)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the $\phi^{CS}$ of the positive charge pion in the Collins-Soper reference frame.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
#: data_file: figure_14_(bottom,_left).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DPHI
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
PHI(PI+) [DEG],PHI(PI+) [DEG] LOW,PHI(PI+) [DEG] HIGH,DSIG/DPHI [PB/DEG],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
-170.0,-180.0,-160.0,74.507,2.1392,-2.1392,4.7558,-4.2174,6.0551,-5.5162
-150.0,-160.0,-140.0,97.107,2.4258,-2.4258,6.1983,-5.4966,7.8657,-7.1835
-130.0,-140.0,-120.0,166.66,3.1915,-3.1915,10.638,-9.4334,13.985,-12.641
-110.0,-120.0,-100.0,299.63,4.1918,-4.1918,19.126,-16.96,24.36,-22.239
-90.0,-100.0,-80.0,335.4,4.2736,-4.2736,21.408,-18.985,26.606,-24.265
-70.0,-80.0,-60.0,308.32,4.1279,-4.1279,19.68,-17.452,24.738,-22.555
-50.0,-60.0,-40.0,183.98,3.3819,-3.3819,11.743,-10.414,15.137,-13.772
-30.0,-40.0,-20.0,99.457,2.4507,-2.4507,6.3483,-5.6297,8.0566,-7.3096
-10.0,-20.0,0.0,80.456,2.197,-2.197,5.1355,-4.5541,6.5159,-5.9457
10.0,0.0,20.0,81.263,2.2202,-2.2202,5.187,-4.5998,6.5969,-6.0105
30.0,20.0,40.0,101.95,2.5234,-2.5234,6.5072,-5.7705,8.0575,-7.3725
50.0,40.0,60.0,177.28,3.3012,-3.3012,11.316,-10.035,14.681,-13.319
70.0,60.0,80.0,299.19,4.0745,-4.0745,19.097,-16.935,23.731,-21.71
90.0,80.0,100.0,329.93,4.2157,-4.2157,21.059,-18.675,26.009,-23.844
110.0,100.0,120.0,295.59,4.0553,-4.0553,18.867,-16.731,23.885,-21.816
130.0,120.0,140.0,166.8,3.2769,-3.2769,10.647,-9.4415,13.664,-12.461
150.0,140.0,160.0,90.855,2.3198,-2.3198,5.7992,-5.1427,7.4053,-6.7319
170.0,160.0,180.0,73.931,2.082,-2.082,4.719,-4.1848,5.9823,-5.4636

