#: table_doi: 10.17182/hepdata.94264.v1/t1
#: name: Figure 8
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
#: data_file: figure_8.yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
0.29957,0.27914,0.32,85.354,1.6197,-1.6197,5.4481,-4.8314,7.7558,-7.0176
0.33,0.32,0.34,85.456,2.3475,-2.3475,5.4546,-4.8371,7.8973,-7.1128
0.35,0.34,0.36,84.753,2.2852,-2.2852,5.4098,-4.7973,7.6517,-6.9308
0.37,0.36,0.38,85.844,2.3278,-2.3278,5.4794,-4.8591,7.9922,-7.222
0.39,0.38,0.4,80.583,2.2377,-2.2377,5.1436,-4.5613,7.5802,-6.7801
0.41000000000000003,0.4,0.42,79.939,2.2685,-2.2685,5.1025,-4.5249,7.4344,-6.7315
0.43,0.42,0.44,77.486,2.1505,-2.1505,4.9459,-4.386,7.0719,-6.364
0.45,0.44,0.46,76.079,2.1345,-2.1345,4.8561,-4.3064,6.7635,-6.1668
0.47,0.46,0.48,69.987,2.0919,-2.0919,4.4672,-3.9615,6.3656,-5.755
0.49,0.48,0.5,65.58,2.0885,-2.0885,4.186,-3.7121,5.7741,-5.2521
0.51,0.5,0.52,67.235,2.1123,-2.1123,4.2916,-3.8058,5.7379,-5.2496
0.53,0.52,0.54,68.964,2.1219,-2.1219,4.402,-3.9036,5.8878,-5.3731
0.55,0.54,0.56,71.715,2.2036,-2.2036,4.5775,-4.0593,6.0912,-5.536
0.5700000000000001,0.56,0.58,79.655,2.6435,-2.6435,5.0843,-4.5087,6.6914,-6.0773
0.59,0.58,0.6,79.16,2.336,-2.336,5.0527,-4.4807,6.4952,-5.9419
