Path: /HepData/5082/d4-x1-y1
Statistical errors only. Data supplied by S. Belforte
Location: F 9B
RE : PBAR P --> PBAR P
SQRT(S) : 1800.0 GeV
SQRT(S) : 1800.0 GeV
T IN GEV**2 : 0.04 TO 0.29
x : T IN GEV**2
y : D(SIG)/DT IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	
	0.035	0.035	0.035	297.4	+52.7	-52.7
	0.045	0.045	0.045	162.9	+12.0	-12.0
	0.055	0.055	0.055	145.8	+7.0	-7.0
	0.065	0.065	0.065	100.8	+4.2	-4.2
	0.075	0.075	0.075	89.9	+3.5	-3.5
	0.085	0.085	0.085	81.3	+2.9	-2.9
	0.095	0.095	0.095	62.8	+2.2	-2.2
	0.105	0.105	0.105	57.7	+2.0	-2.0
	0.115	0.115	0.115	48.2	+1.7	-1.7
	0.125	0.125	0.125	41.4	+1.6	-1.6
	0.135	0.135	0.135	34.6	+1.4	-1.4
	0.145	0.145	0.145	28.3	+1.3	-1.3
	0.155	0.155	0.155	23.8	+1.2	-1.2
	0.165	0.165	0.165	21.8	+1.2	-1.2
	0.175	0.175	0.175	18.9	+1.1	-1.1
	0.185	0.185	0.185	14.5	+1.0	-1.0
	0.195	0.195	0.195	11.7	+0.9	-0.9
	0.205	0.205	0.205	11.4	+1.0	-1.0
	0.215	0.215	0.215	8.3	+0.9	-0.9
	0.225	0.225	0.225	7.3	+0.9	-0.9
	0.235	0.235	0.235	5.8	+0.9	-0.9
	0.245	0.245	0.245	3.8	+0.9	-0.9
	0.255	0.255	0.255	2.4	+0.8	-0.8
	0.265	0.265	0.265	2.5	+1.0	-1.0
	0.275	0.275	0.275	2.5	+1.4	-1.4
	0.285	0.285	0.285	5.3	+2.7	-2.7

