#: table_doi: 10.17182/hepdata.94264.v1/t13
#: name: Figure 12 (top, left)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair, for events with $\Delta\varphi < 90$ degrees.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
 * additional cuts
	- $\Delta\varphi < 90$ degrees

#: data_file: figure_12_(top,_left).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
0.29957,0.27914,0.32,85.537,1.6164,-1.6164,5.4598,-4.8417,7.7724,-7.0325
0.33,0.32,0.34,85.799,2.3385,-2.3385,5.4765,-4.8565,7.9276,-7.1398
0.35,0.34,0.36,85.174,2.2744,-2.2744,5.4366,-4.8212,7.6877,-6.963
0.37,0.36,0.38,86.147,2.32,-2.32,5.4987,-4.8762,8.0204,-7.2475
0.39,0.38,0.4,80.972,2.2274,-2.2274,5.1684,-4.5833,7.6168,-6.8128
0.41000000000000003,0.4,0.42,80.163,2.257,-2.257,5.1168,-4.5375,7.4561,-6.7508
0.43,0.42,0.44,77.691,2.1239,-2.1239,4.959,-4.3976,7.0534,-6.3554
0.45,0.44,0.46,75.496,2.0862,-2.0862,4.8189,-4.2733,6.6912,-6.0999
0.47,0.46,0.48,69.842,2.0398,-2.0398,4.458,-3.9533,6.3368,-5.7295
0.49,0.48,0.5,63.497,1.9204,-1.9204,4.053,-3.5942,5.5739,-5.0659
0.51,0.5,0.52,59.517,1.8386,-1.8386,3.7989,-3.3689,5.0186,-4.5893
0.53,0.52,0.54,56.6,1.7773,-1.7773,3.6128,-3.2038,4.8335,-4.4008
0.55,0.54,0.56,52.276,1.7009,-1.7009,3.3367,-2.959,4.4825,-4.057
0.5700000000000001,0.56,0.58,55.809,1.9909,-1.9909,3.5623,-3.159,4.6501,-4.2398
0.59,0.58,0.6,51.769,1.7472,-1.7472,3.3044,-2.9303,4.3283,-3.9303
0.61,0.6,0.62,46.066,1.5949,-1.5949,2.9404,-2.6075,3.7463,-3.4196
0.63,0.62,0.64,44.32,1.5176,-1.5176,2.8289,-2.5087,3.5389,-3.2074
0.65,0.64,0.66,40.257,1.4428,-1.4428,2.5696,-2.2787,3.276,-2.9704
0.67,0.66,0.68,40.809,1.4771,-1.4771,2.6048,-2.31,3.2462,-2.9521
0.69,0.68,0.7,41.585,1.5091,-1.5091,2.6543,-2.3539,3.2473,-2.9742
0.715,0.7,0.73,38.606,1.1702,-1.1702,2.4642,-2.1853,2.9323,-2.6907
0.745,0.73,0.76,38.966,1.1819,-1.1819,2.4872,-2.2056,2.963,-2.7093
0.775,0.76,0.79,38.816,1.1568,-1.1568,2.4776,-2.1971,3.0073,-2.7374
0.8049999999999999,0.79,0.82,39.805,1.155,-1.155,2.5407,-2.2531,2.9617,-2.7173
0.835,0.82,0.85,42.395,1.2184,-1.2184,2.706,-2.3997,3.1755,-2.9024
0.865,0.85,0.88,42.087,1.1613,-1.1613,2.6864,-2.3823,3.1552,-2.8961
0.895,0.88,0.91,44.636,1.1954,-1.1954,2.8491,-2.5266,3.2899,-3.0249
0.925,0.91,0.94,51.964,1.2698,-1.2698,3.3168,-2.9413,3.9963,-3.662
0.955,0.94,0.97,56.708,1.3335,-1.3335,3.6196,-3.2099,4.5017,-4.0995
0.985,0.97,1.0,29.276,0.96167,-0.96167,1.8687,-1.6571,2.3113,-2.1052
1.0150000000000001,1.0,1.03,4.4098,0.45235,-0.45235,0.28148,-0.24961,0.34236,-0.31367
1.045,1.03,1.06,2.9014,0.37791,-0.37791,0.1852,-0.16423,0.22234,-0.20522
