#: table_doi: 10.17182/hepdata.94264.v1/t14
#: name: Figure 12 (top, right)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair, for events with $\Delta\varphi > 90$ degrees.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
 * additional cuts
	- $\Delta\varphi > 90$ degrees

#: data_file: figure_12_(top,_right).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
0.41000000000000003,0.4,0.42,1.0313e-09,0.18778,-0.18778,6.5825e-11,-5.8373e-11,1.6407e-09,-1.6404e-09
0.43,0.42,0.44,2.766e-07,0.39934,-0.39934,1.7656e-08,-1.5657e-08,1.0702e-07,-1.0116e-07
0.45,0.44,0.46,0.64085,0.52828,-0.52828,0.040905,-0.036274,0.10641,-0.10278
0.47,0.46,0.48,0.18565,0.56616,-0.56616,0.01185,-0.010509,0.024151,-0.022369
0.49,0.48,0.5,2.0951,0.95904,-0.95904,0.13373,-0.11859,0.25814,-0.23975
0.51,0.5,0.52,7.7142,1.0983,-1.0983,0.4924,-0.43665,0.75798,-0.69294
0.53,0.52,0.54,12.292,1.1979,-1.1979,0.78462,-0.6958,1.1716,-1.0703
0.55,0.54,0.56,19.331,1.436,-1.436,1.2339,-1.0942,1.7609,-1.6182
0.5700000000000001,0.56,0.58,23.718,1.7782,-1.7782,1.5139,-1.3425,2.2206,-1.9835
0.59,0.58,0.6,27.249,1.5697,-1.5697,1.7393,-1.5424,2.3115,-2.146
0.61,0.6,0.62,27.728,1.5115,-1.5115,1.7699,-1.5695,2.2992,-2.1353
0.63,0.62,0.64,33.181,1.6729,-1.6729,2.1179,-1.8782,2.8193,-2.6205
0.65,0.64,0.66,32.899,1.604,-1.604,2.0999,-1.8622,2.6725,-2.4854
0.67,0.66,0.68,33.076,1.5665,-1.5665,2.1112,-1.8722,2.7487,-2.5689
0.69,0.68,0.7,32.775,1.5729,-1.5729,2.092,-1.8552,2.7112,-2.5275
0.715,0.7,0.73,33.953,1.2811,-1.2811,2.1672,-1.9218,2.7555,-2.5703
0.745,0.73,0.76,31.91,1.2346,-1.2346,2.0368,-1.8062,2.6024,-2.4076
0.775,0.76,0.79,31.082,1.1531,-1.1531,1.984,-1.7594,2.4304,-2.2505
0.8049999999999999,0.79,0.82,29.39,1.1135,-1.1135,1.876,-1.6636,2.15,-2.0009
0.835,0.82,0.85,27.646,1.0287,-1.0287,1.7646,-1.5648,2.0862,-1.936
0.865,0.85,0.88,29.77,1.0202,-1.0202,1.9002,-1.6851,2.186,-2.0123
0.895,0.88,0.91,28.22,0.95865,-0.95865,1.8013,-1.5974,2.012,-1.8544
0.925,0.91,0.94,28.859,0.98876,-0.98876,1.842,-1.6335,2.0438,-1.8883
0.955,0.94,0.97,27.328,0.93691,-0.93691,1.7444,-1.5469,1.9027,-1.7524
0.985,0.97,1.0,15.612,0.73605,-0.73605,0.99652,-0.88371,1.1876,-1.0858
1.0150000000000001,1.0,1.03,8.4411,0.58573,-0.58573,0.53879,-0.4778,0.71363,-0.64485
1.045,1.03,1.06,8.3501,0.5773,-0.5773,0.53298,-0.47264,0.69547,-0.63319
1.0750000000000002,1.06,1.09,10.448,0.62438,-0.62438,0.66689,-0.59139,0.85726,-0.77732
1.105,1.09,1.12,11.205,0.62378,-0.62378,0.71518,-0.63422,0.9129,-0.82191
1.135,1.12,1.15,12.267,0.62539,-0.62539,0.78299,-0.69435,0.98106,-0.88067
1.165,1.15,1.18,15.208,0.66625,-0.66625,0.97071,-0.86082,1.1903,-1.0834
1.1949999999999998,1.18,1.21,18.917,0.75725,-0.75725,1.2075,-1.0708,1.5273,-1.3624
1.225,1.21,1.24,21.133,0.79873,-0.79873,1.3489,-1.1962,1.7546,-1.5697
1.255,1.24,1.27,25.249,0.84531,-0.84531,1.6116,-1.4292,2.0145,-1.8179
1.2850000000000001,1.27,1.3,21.151,0.79642,-0.79642,1.3501,-1.1973,1.5834,-1.4397
1.3250000000000002,1.3,1.35,16.157,0.51807,-0.51807,1.0313,-0.91455,1.2042,-1.096
1.375,1.35,1.4,9.6981,0.40651,-0.40651,0.61903,-0.54895,0.70847,-0.64695
1.4249999999999998,1.4,1.45,6.4261,0.34014,-0.34014,0.41018,-0.36374,0.4653,-0.42855
1.475,1.45,1.5,2.967,0.23273,-0.23273,0.18938,-0.16794,0.22385,-0.20462
1.525,1.5,1.55,1.5395,0.18072,-0.18072,0.098265,-0.087141,0.11354,-0.1051
1.5750000000000002,1.55,1.6,1.4066,0.1725,-0.1725,0.089781,-0.079617,0.11005,-0.10146
1.625,1.6,1.65,1.3502,0.16366,-0.16366,0.086182,-0.076426,0.11515,-0.1051
1.6749999999999998,1.65,1.7,1.5269,0.177,-0.177,0.097462,-0.086428,0.1384,-0.12383
1.725,1.7,1.75,1.4395,0.18274,-0.18274,0.091885,-0.081483,0.11834,-0.10677
1.775,1.75,1.8,1.0342,0.13478,-0.13478,0.066014,-0.058541,0.072839,-0.066365
1.8250000000000002,1.8,1.85,0.92756,0.13267,-0.13267,0.059206,-0.052504,0.070826,-0.064825
1.875,1.85,1.9,1.0402,0.14379,-0.14379,0.066398,-0.058881,0.080721,-0.073501
1.9249999999999998,1.9,1.95,0.6263,0.11123,-0.11123,0.039976,-0.035451,0.051429,-0.047034
1.975,1.95,2.0,1.0267,0.13203,-0.13203,0.065534,-0.058115,0.076113,-0.070164
2.025,2.0,2.05,0.94935,0.13097,-0.13097,0.060597,-0.053737,0.075342,-0.068307
2.075,2.05,2.1,0.96339,0.12673,-0.12673,0.061493,-0.054532,0.074617,-0.068075
2.125,2.1,2.15,1.0831,0.13919,-0.13919,0.069133,-0.061307,0.082117,-0.075151
2.175,2.15,2.2,0.69022,0.1048,-0.1048,0.044056,-0.039069,0.050673,-0.046592
2.225,2.2,2.25,0.65919,0.10029,-0.10029,0.042076,-0.037313,0.048981,-0.043942
2.275,2.25,2.3,0.5414,0.094964,-0.094964,0.034558,-0.030645,0.042006,-0.037968
