#: table_doi: 10.17182/hepdata.94264.v1/t19
#: name: Figure 13 (left)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair, for events with $\Delta\varphi < 90$ degrees and $\Delta p'_{\mathrm{T}} < 0.12~\mathrm{GeV}$.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
 * additional cuts
	- $\Delta\varphi < 90$ degrees
	- $\Delta p'_{\mathrm{T}} < 0.12~\mathrm{GeV}$

#: data_file: figure_13_(left).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
0.29957,0.27914,0.32,43.58,1.1043,-1.1043,2.7817,-2.4668,3.6373,-3.3304
0.33,0.32,0.34,44.51,1.6481,-1.6481,2.8411,-2.5194,3.903,-3.5317
0.35,0.34,0.36,44.604,1.6158,-1.6158,2.847,-2.5247,3.748,-3.4319
0.37,0.36,0.38,43.904,1.6143,-1.6143,2.8024,-2.4851,3.7942,-3.4635
0.39,0.38,0.4,41.369,1.5603,-1.5603,2.6405,-2.3416,3.6728,-3.3225
0.41000000000000003,0.4,0.42,38.336,1.4605,-1.4605,2.447,-2.1699,3.2773,-2.9858
0.43,0.42,0.44,37.785,1.4471,-1.4471,2.4118,-2.1388,3.2613,-2.9261
0.45,0.44,0.46,35.599,1.3622,-1.3622,2.2723,-2.015,2.9063,-2.6666
0.47,0.46,0.48,34.177,1.3989,-1.3989,2.1815,-1.9346,2.849,-2.598
0.49,0.48,0.5,30.964,1.2974,-1.2974,1.9764,-1.7527,2.4813,-2.2752
0.51,0.5,0.52,30.711,1.2997,-1.2997,1.9603,-1.7384,2.4042,-2.2104
0.53,0.52,0.54,27.454,1.2113,-1.2113,1.7524,-1.554,2.1176,-1.9592
0.55,0.54,0.56,25.886,1.1435,-1.1435,1.6523,-1.4652,2.0492,-1.8694
0.5700000000000001,0.56,0.58,27.793,1.2069,-1.2069,1.774,-1.5732,2.1548,-1.983
0.59,0.58,0.6,24.522,1.2004,-1.2004,1.5652,-1.388,1.9535,-1.7714
0.61,0.6,0.62,21.301,1.0161,-1.0161,1.3596,-1.2057,1.5523,-1.4322
0.63,0.62,0.64,23.079,1.0479,-1.0479,1.4731,-1.3064,1.6434,-1.5086
0.65,0.64,0.66,19.706,1.0084,-1.0084,1.2578,-1.1154,1.4789,-1.3473
0.67,0.66,0.68,19.502,1.0128,-1.0128,1.2448,-1.1039,1.4595,-1.3405
0.69,0.68,0.7,20.594,1.0093,-1.0093,1.3145,-1.1657,1.4633,-1.3516
0.715,0.7,0.73,19.423,0.81032,-0.81032,1.2398,-1.0994,1.3601,-1.2573
0.745,0.73,0.76,19.996,0.84457,-0.84457,1.2763,-1.1319,1.3918,-1.2817
0.775,0.76,0.79,17.727,0.76067,-0.76067,1.1315,-1.0034,1.2307,-1.1361
0.8049999999999999,0.79,0.82,19.457,0.77665,-0.77665,1.242,-1.1014,1.3077,-1.2159
0.835,0.82,0.85,20.238,0.78918,-0.78918,1.2918,-1.1456,1.3838,-1.2774
0.865,0.85,0.88,20.004,0.76393,-0.76393,1.2768,-1.1323,1.3573,-1.2591
0.895,0.88,0.91,22.662,0.79882,-0.79882,1.4465,-1.2828,1.4917,-1.3889
0.925,0.91,0.94,26.244,0.86824,-0.86824,1.6751,-1.4855,1.8745,-1.7325
0.955,0.94,0.97,27.684,0.89624,-0.89624,1.7671,-1.567,2.0304,-1.8625
0.985,0.97,1.0,15.104,0.6679,-0.6679,0.96406,-0.85492,1.0946,-1.0049
1.0150000000000001,1.0,1.03,2.027,0.30009,-0.30009,0.12938,-0.11473,0.14225,-0.13211
1.045,1.03,1.06,1.4863,0.25925,-0.25925,0.094871,-0.084131,0.10426,-0.097105
1.0750000000000002,1.06,1.09,1.3499,0.25353,-0.25353,0.086165,-0.07641,0.10885,-0.097788
1.105,1.09,1.12,1.4749,0.21056,-0.21056,0.094143,-0.083486,0.092189,-0.087505
1.135,1.12,1.15,1.8759,0.2527,-0.2527,0.11974,-0.10618,0.12311,-0.11312
1.165,1.15,1.18,2.054,0.27334,-0.27334,0.13111,-0.11626,0.13267,-0.12314
1.1949999999999998,1.18,1.21,2.7984,0.30324,-0.30324,0.17862,-0.1584,0.18116,-0.16896
1.225,1.21,1.24,3.3954,0.32473,-0.32473,0.21672,-0.19219,0.22737,-0.20653
1.255,1.24,1.27,4.4867,0.3469,-0.3469,0.28639,-0.25397,0.30644,-0.28344
1.2850000000000001,1.27,1.3,4.6951,0.35647,-0.35647,0.29968,-0.26576,0.3319,-0.30277
1.3250000000000002,1.3,1.35,4.3429,0.2535,-0.2535,0.27721,-0.24582,0.27039,-0.25221
1.375,1.35,1.4,4.4774,0.25395,-0.25395,0.28579,-0.25344,0.26403,-0.24781
1.4249999999999998,1.4,1.45,3.9096,0.2522,-0.2522,0.24955,-0.2213,0.25986,-0.23876
1.475,1.45,1.5,2.141,0.17771,-0.17771,0.13666,-0.12119,0.14239,-0.12977
1.525,1.5,1.55,0.73876,0.13859,-0.13859,0.047155,-0.041816,0.066537,-0.05908
1.5750000000000002,1.55,1.6,0.17831,0.064011,-0.064011,0.011382,-0.010093,0.01438,-0.013867
1.625,1.6,1.65,0.1784,0.074214,-0.074214,0.011387,-0.010098,0.015075,-0.013735
1.6749999999999998,1.65,1.7,0.21568,0.061366,-0.061366,0.013767,-0.012208,0.014561,-0.013591
1.725,1.7,1.75,0.19561,0.062486,-0.062486,0.012486,-0.011072,0.011588,-0.010929
1.775,1.75,1.8,0.082005,0.053892,-0.053892,0.0052343,-0.0046418,0.0058178,-0.005341
1.8250000000000002,1.8,1.85,0.16537,0.059381,-0.059381,0.010555,-0.0093604,0.012698,-0.011884
1.875,1.85,1.9,0.25855,0.067564,-0.067564,0.016503,-0.014635,0.017006,-0.016119
1.9249999999999998,1.9,1.95,0.33617,0.077888,-0.077888,0.021458,-0.019029,0.026681,-0.023747
1.975,1.95,2.0,0.30703,0.069789,-0.069789,0.019597,-0.017379,0.0232,-0.021635
2.025,2.0,2.05,0.36383,0.083504,-0.083504,0.023223,-0.020594,0.025127,-0.023286
2.075,2.05,2.1,0.36896,0.082296,-0.082296,0.023551,-0.020885,0.023315,-0.022079
2.125,2.1,2.15,0.58997,0.095881,-0.095881,0.037658,-0.033394,0.042371,-0.038846
2.175,2.15,2.2,0.76871,0.11115,-0.11115,0.049066,-0.043512,0.060652,-0.055087
2.225,2.2,2.25,0.39788,0.078478,-0.078478,0.025397,-0.022522,0.02791,-0.025801
2.275,2.25,2.3,0.53134,0.094864,-0.094864,0.033915,-0.030076,0.047315,-0.041261
2.325,2.3,2.35,0.25205,0.056756,-0.056756,0.016089,-0.014267,0.015864,-0.014874
2.375,2.35,2.4,0.22286,0.055005,-0.055005,0.014225,-0.012615,0.014505,-0.013667
2.425,2.4,2.45,0.37229,0.07562,-0.07562,0.023763,-0.021073,0.027712,-0.025336
2.475,2.45,2.5,0.20686,0.053789,-0.053789,0.013204,-0.011709,0.015188,-0.013669
2.525,2.5,2.55,0.32424,0.068009,-0.068009,0.020696,-0.018353,0.024718,-0.023011
2.575,2.55,2.6,0.25804,0.056564,-0.056564,0.016471,-0.014606,0.016463,-0.01553
2.625,2.6,2.65,0.17297,0.052434,-0.052434,0.011041,-0.0097906,0.012441,-0.011473
2.675,2.65,2.7,0.11007,0.036327,-0.036327,0.0070255,-0.0062301,0.0073225,-0.0068281
2.725,2.7,2.75,0.098387,0.035806,-0.035806,0.00628,-0.0055691,0.0064154,-0.0058658
2.775,2.75,2.8,0.13416,0.050565,-0.050565,0.0085635,-0.0075941,0.014977,-0.013028
2.825,2.8,2.85,0.12198,0.043664,-0.043664,0.0077861,-0.0069047,0.0080761,-0.0075919
2.875,2.85,2.9,0.13657,0.041764,-0.041764,0.0087171,-0.0077303,0.010276,-0.009326
2.925,2.9,2.95,0.051142,0.026467,-0.026467,0.0032644,-0.0028948,0.0031948,-0.0036223
2.975,2.95,3.0,0.034642,0.02013,-0.02013,0.0022112,-0.0019609,0.0028594,-0.0023574
3.05,3.0,3.1,0.053721,0.017507,-0.017507,0.003429,-0.0030408,0.0038361,-0.0034805
