#: table_doi: 10.17182/hepdata.94264.v1/t20
#: name: Figure 13 (right)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the invariant mass of the pair, for events with $\Delta\varphi < 90$ degrees and $\Delta p'_{\mathrm{T}} > 0.12~\mathrm{GeV}$.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
 * additional cuts
	- $\Delta\varphi < 90$ degrees
	- $\Delta p'_{\mathrm{T}} > 0.12~\mathrm{GeV}$

#: data_file: figure_13_(right).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DM
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
M(PI+PI-) [GEV],M(PI+PI-) [GEV] LOW,M(PI+PI-) [GEV] HIGH,DSIG/DM [NB/GEV],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
0.29957,0.27914,0.32,39.265,1.1101,-1.1101,2.5063,-2.2225,3.9153,-3.5009
0.33,0.32,0.34,38.579,1.5533,-1.5533,2.4625,-2.1837,3.7861,-3.3904
0.35,0.34,0.36,37.872,1.4965,-1.4965,2.4174,-2.1437,3.723,-3.3276
0.37,0.36,0.38,39.506,1.562,-1.562,2.5217,-2.2362,3.9917,-3.5698
0.39,0.38,0.4,37.024,1.4886,-1.4886,2.3632,-2.0957,3.7103,-3.2818
0.41000000000000003,0.4,0.42,39.265,1.6253,-1.6253,2.5063,-2.2225,3.9632,-3.5655
0.43,0.42,0.44,37.417,1.4602,-1.4602,2.3883,-2.118,3.5827,-3.2362
0.45,0.44,0.46,37.471,1.4898,-1.4898,2.3918,-2.121,3.5895,-3.2539
0.47,0.46,0.48,33.408,1.3927,-1.3927,2.1324,-1.891,3.3107,-2.9675
0.49,0.48,0.5,30.476,1.3306,-1.3306,1.9453,-1.725,2.9371,-2.6445
0.51,0.5,0.52,26.873,1.2145,-1.2145,1.7153,-1.5211,2.4661,-2.242
0.53,0.52,0.54,27.3,1.22,-1.22,1.7426,-1.5453,2.5816,-2.3147
0.55,0.54,0.56,24.674,1.1836,-1.1836,1.5749,-1.3966,2.2961,-2.0617
0.5700000000000001,0.56,0.58,26.182,1.5012,-1.5012,1.6712,-1.482,2.3585,-2.1277
0.59,0.58,0.6,25.54,1.1891,-1.1891,1.6302,-1.4456,2.2424,-2.0375
0.61,0.6,0.62,23.237,1.1604,-1.1604,1.4832,-1.3153,2.0879,-1.8893
0.63,0.62,0.64,19.767,1.0271,-1.0271,1.2617,-1.1189,1.7959,-1.6085
