#: table_doi: 10.17182/hepdata.94264.v1/t40
#: name: Figure 16 (bottom, middle)
#: description: Differential fiducial cross section for CEP of $\pi^+\pi^-$ pairs as a function of the $\phi^{CS}$ of the positive charge pion in the Collins-Soper reference frame, for invariant masses $1 \mathrm{GeV} < m(\pi^+\pi^-) < 1.5~\mathrm{GeV}$.

Systematic uncertainties assigned to data points are strongly correlated between bins and should be treated as allowed collective variation of all data points. There are two components of the total systematic uncertainty. The systematic uncertainty related to the experimental tools and analysis method is labeled "syst. (experimental)". The systematic uncertainty related to the integrated luminosity (fully correlated between all data points) is labeled "syst. (luminosity)".

Fiducial region definition:
 * central state $\pi^+$, $\pi^-$
	- $p_{\mathrm{T}} > 0.2~\mathrm{GeV}$
	- $|\eta| < 0.7$
 * intact forward-scattered beam protons $p'$
	- $p_x > -0.2~\mathrm{GeV}$
	- $0.2~\mathrm{GeV} < |p_{y}| < 0.4~\mathrm{GeV}$
	- $(p_x+0.3~\mathrm{GeV})^2 + p_y^2 < 0.25~\mathrm{GeV}^2$
 * additional cuts
	- $1 \mathrm{GeV} < m(\pi^+\pi^-) < 1.5~\mathrm{GeV}$

#: data_file: figure_16_(bottom,_middle).yaml
#: keyword reactions: P P --> P PI+ PI- P
#: keyword observables: DSIG/DPHI
#: keyword cmenergies: 200
#: keyword phrases: Exclusive | Diffractive | Cross Section | Proton-Proton Scattering | Single Differential Cross Section
#: SQRT(S) [GeV],,,200
#: LUMINOSITY [$pb^{-1}$],,,14.2
#: RE,,,P P --> P PI+ PI- P
PHI(K+) [DEG],PHI(K+) [DEG] LOW,PHI(K+) [DEG] HIGH,DSIG/DPHI [PB/DEG],stat. +,stat. -,syst. (luminosity) +,syst. (luminosity) -,syst. (experimental) +,syst. (experimental) -
-170.0,-180.0,-160.0,17.831,0.93764,-0.93764,1.1382,-1.0093,1.4794,-1.3109
-150.0,-160.0,-140.0,22.065,1.0378,-1.0378,1.4084,-1.2489,1.7584,-1.5859
-130.0,-140.0,-120.0,27.476,1.1138,-1.1138,1.7538,-1.5553,1.9607,-1.7862
-110.0,-120.0,-100.0,36.01,1.2526,-1.2526,2.2985,-2.0383,2.7807,-2.5393
-90.0,-100.0,-80.0,37.922,1.2661,-1.2661,2.4205,-2.1465,2.8055,-2.5462
-70.0,-80.0,-60.0,34.389,1.2423,-1.2423,2.195,-1.9465,2.5607,-2.3256
-50.0,-60.0,-40.0,26.524,1.1002,-1.1002,1.693,-1.5014,1.9544,-1.793
-30.0,-40.0,-20.0,20.303,0.96943,-0.96943,1.2959,-1.1492,1.6187,-1.4572
-10.0,-20.0,0.0,18.189,0.94192,-0.94192,1.161,-1.0296,1.4648,-1.3144
10.0,0.0,20.0,17.964,0.94409,-0.94409,1.1467,-1.0169,1.4193,-1.2899
30.0,20.0,40.0,20.42,0.9859,-0.9859,1.3034,-1.1559,1.6108,-1.4479
50.0,40.0,60.0,24.567,1.0591,-1.0591,1.5681,-1.3906,1.7598,-1.6168
70.0,60.0,80.0,36.131,1.2855,-1.2855,2.3062,-2.0451,2.8029,-2.5452
90.0,80.0,100.0,39.669,1.3496,-1.3496,2.5321,-2.2454,3.0869,-2.7883
110.0,100.0,120.0,35.419,1.2535,-1.2535,2.2608,-2.0048,2.6762,-2.4366
130.0,120.0,140.0,25.919,1.0883,-1.0883,1.6544,-1.4671,1.8674,-1.7021
150.0,140.0,160.0,20.732,0.98136,-0.98136,1.3233,-1.1735,1.6252,-1.4755
170.0,160.0,180.0,19.46,0.97617,-0.97617,1.2421,-1.1015,1.5588,-1.4031

