Path: /HepData/8752/d1-x1-y1
The $d\sigma$/$dt$ differential cross section. The statistical and systematic uncertainties are added in quadrature
Location: T 1,F 11
RE : PBAR P --> PBAR P
SQRT(S) : 1960.0 GeV
x : $|t|$ IN GEV$^{2}$
y : $d\sigma$/$d|t|$ IN MB/GEV$^{2}$
xdesc	x	xlow	xhigh	y	dy+	dy-	
	0.26	0.26	0.26	4.73	+0.26	-0.26
	0.3	0.3	0.3	2.14	+0.072	-0.072
	0.34	0.34	0.34	1.06	+0.037	-0.037
	0.38	0.38	0.38	0.564	+0.022	-0.022
	0.42	0.42	0.42	0.298	+0.014	-0.014
	0.46	0.46	0.46	0.142	+0.0083	-0.0083
	0.5	0.5	0.5	0.0746	+0.0051	-0.0051
	0.54	0.54	0.54	0.0381	+0.0036	-0.0036
	0.58	0.58	0.58	0.022	+0.003	-0.003
	0.64	0.64	0.64	0.0104	+0.0013	-0.0013
	0.72	0.72	0.72	0.0119	+0.0017	-0.0017
	0.8	0.8	0.8	0.00928	+0.0015	-0.0015
	0.88	0.88	0.88	0.0112	+0.0017	-0.0017
	0.96	0.96	0.96	0.00811	+0.0015	-0.0015
	1.04	1.04	1.04	0.00577	+0.0013	-0.0013
	1.12	1.12	1.12	0.00573	+0.0013	-0.0013
	1.2	1.2	1.2	0.00284	+0.0017	-0.0017

