Path: /HepData/8531/d5-x1-y1
The differential cross section as a function of T for elastic P P scattering at a centre of mass energy of 62.5 GeV

RE : P P --> P P
SQRT(S) : 62.5 GeV
x : -T IN GEV**2
y : D(SIG)/DT IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	
	0.00167	0.00167	0.00167	166.0	+0.83	-0.83
	0.00197	0.00197	0.00197	142.0	+0.426	-0.426
	0.0023	0.0023	0.0023	127.0	+0.381	-0.381
	0.00265	0.00265	0.00265	116.0	+0.348	-0.348
	0.00302	0.00302	0.00302	108.0	+0.324	-0.324
	0.00343	0.00343	0.00343	104.0	+0.312	-0.312
	0.00386	0.00386	0.00386	100.0	+0.4	-0.4
	0.00431	0.00431	0.00431	97.0	+0.388	-0.388
	0.00478	0.00478	0.00478	94.6	+0.378	-0.378
	0.00529	0.00529	0.00529	93.0	+0.372	-0.372
	0.00582	0.00582	0.00582	91.4	+0.366	-0.366
	0.00637	0.00637	0.00637	90.3	+0.361	-0.361
	0.00695	0.00695	0.00695	89.1	+0.356	-0.356
	0.00755	0.00755	0.00755	87.6	+0.35	-0.35
	0.00818	0.00818	0.00818	86.6	+0.346	-0.346
	0.00883	0.00883	0.00883	85.2	+0.341	-0.341
	0.0095	0.0095	0.0095	84.4	+0.338	-0.338
	0.01074	0.01074	0.01074	83.3	+0.333	-0.333
	0.01205	0.01205	0.01205	81.4	+0.326	-0.326
	0.01343	0.01343	0.01343	80.1	+0.32	-0.32
	0.0149	0.0149	0.0149	78.5	+0.314	-0.314
	0.01643	0.01643	0.01643	77.0	+0.308	-0.308
	0.01804	0.01804	0.01804	75.3	+0.678	-0.678
	0.01973	0.01973	0.01973	72.6	+1.52	-1.52
	0.0215	0.0215	0.0215	71.3	+1.5	-1.5
	0.02334	0.02334	0.02334	69.9	+1.47	-1.47
	0.0215	0.0215	0.0215	71.3	+1.5	-1.5
	0.02525	0.02525	0.02525	68.9	+0.758	-0.758
	0.02724	0.02724	0.02724	67.0	+0.737	-0.737
	0.02931	0.02931	0.02931	65.0	+0.715	-0.715
	0.03145	0.03145	0.03145	62.3	+0.685	-0.685
	0.03367	0.03367	0.03367	60.9	+0.67	-0.67
	0.03596	0.03596	0.03596	59.8	+0.718	-0.718
	0.037	0.037	0.037	59.2	+0.414	-0.414
	0.039	0.039	0.039	57.3	+0.401	-0.401
	0.041	0.041	0.041	56.0	+0.392	-0.392
	0.043	0.043	0.043	53.7	+0.269	-0.269
	0.045	0.045	0.045	53.2	+0.319	-0.319
	0.047	0.047	0.047	51.3	+0.308	-0.308
	0.049	0.049	0.049	50.1	+0.301	-0.301
	0.051	0.051	0.051	48.4	+0.29	-0.29
	0.053	0.053	0.053	47.7	+0.286	-0.286
	0.055	0.055	0.055	46.7	+0.28	-0.28
	0.057	0.057	0.057	45.5	+0.273	-0.273
	0.059	0.059	0.059	45.0	+0.315	-0.315
	0.061	0.061	0.061	43.6	+0.305	-0.305
	0.063	0.063	0.063	41.9	+0.293	-0.293
	0.065	0.065	0.065	41.3	+0.289	-0.289
	0.067	0.067	0.067	40.6	+0.284	-0.284
	0.069	0.069	0.069	39.5	+0.276	-0.276
	0.071	0.071	0.071	38.5	+0.308	-0.308
	0.073	0.073	0.073	37.7	+0.302	-0.302
	0.075	0.075	0.075	36.7	+0.294	-0.294
	0.077	0.077	0.077	35.1	+0.281	-0.281
	0.079	0.079	0.079	34.0	+0.306	-0.306
	0.081	0.081	0.081	33.2	+0.299	-0.299
	0.083	0.083	0.083	32.2	+0.29	-0.29
	0.085	0.085	0.085	31.8	+0.286	-0.286
	0.087	0.087	0.087	30.5	+0.305	-0.305
	0.089	0.089	0.089	30.3	+0.303	-0.303
	0.091	0.091	0.091	29.4	+0.294	-0.294
	0.093	0.093	0.093	28.6	+0.286	-0.286
	0.095	0.095	0.095	28.3	+0.283	-0.283
	0.097	0.097	0.097	27.6	+0.304	-0.304
	0.099	0.099	0.099	27.0	+0.297	-0.297
	0.27	0.27	0.27	4.17	+0.66	-0.66
	0.29	0.29	0.29	3.05	+0.47	-0.47
	0.31	0.31	0.31	2.45	+0.37	-0.37
	0.33	0.33	0.33	2.05	+0.3	-0.3
	0.35	0.35	0.35	1.73	+0.25	-0.25
	0.37	0.37	0.37	1.47	+0.21	-0.21
	0.39	0.39	0.39	1.2	+0.17	-0.17
	0.41	0.41	0.41	1.01	+0.14	-0.14
	0.43	0.43	0.43	0.83	+0.12	-0.12
	0.45	0.45	0.45	0.632	+0.087	-0.087
	0.47	0.47	0.47	0.533	+0.073	-0.073
	0.49	0.49	0.49	0.418	+0.056	-0.056
	0.525	0.525	0.525	0.272	+0.036	-0.036
	0.575	0.575	0.575	0.163	+0.022	-0.022
	0.625	0.625	0.625	0.0861	+0.012	-0.012
	0.675	0.675	0.675	0.0504	+0.0072	-0.0072
	0.725	0.725	0.725	0.0232	+0.0035	-0.0035
	0.775	0.775	0.775	0.0149	+0.0025	-0.0025
	0.825	0.825	0.825	0.0102	+0.00163	-0.00163
	0.875	0.875	0.875	0.00567	+8.5E-4	-8.5E-4
	0.925	0.925	0.925	0.00305	+5.18E-4	-5.18E-4
	0.975	0.975	0.975	0.00154	+2.62E-4	-2.62E-4
	1.025	1.025	1.025	7.17E-4	+1.08E-4	-1.08E-4
	1.075	1.075	1.075	4.44E-4	+7.1E-5	-7.1E-5
